OK   | seed=0 | style=paraphrase_formal | call=1 | focus=unknown | q=Can the infestation of termites (deemak/geda) in wheat crops
OK   | seed=4 | style=paraphrase_yes_no | call=5 | focus=unknown | q=Which pest is responsible for silvering of wheat leaves?
OK   | seed=4 | style=paraphrase_yes_no | call=6 | focus=unknown | q=When should blue pan traps be set up for monitoring thrips i
OK   | seed=4 | style=paraphrase_preventive | call=1 | focus=unknown | q=Is there a way to prevent thrips from damaging the wheat cro
OK   | seed=4 | style=paraphrase_preventive | call=2 | focus=unknown | q=Does proper monitoring help in preventing thrips damage in w
OK   | seed=4 | style=paraphrase_preventive | call=3 | focus=unknown | q=Are there any preventive measures to reduce thrips infestati
OK   | seed=4 | style=paraphrase_preventive | call=4 | focus=unknown | q=What are the preventive measures to avoid thrips infestation
OK   | seed=4 | style=paraphrase_preventive | call=5 | focus=unknown | q=Which practices can prevent thrips in wheat?
OK   | seed=4 | style=paraphrase_comparison | call=1 | focus=symptom_detail | q=Is thrips or whitefly a more significant pest in wheat crops
OK   | seed=4 | style=paraphrase_comparison | call=2 | focus=unknown | q=Does thrips cause similar damage to wheat as whitefly?
OK   | seed=4 | style=paraphrase_comparison | call=3 | focus=unknown | q=Are blue pan traps and yellow sticky traps both effective fo
OK   | seed=4 | style=paraphrase_comparison | call=4 | focus=unknown | q=What is the difference between whitefly and thrips in wheat 
OK   | seed=4 | style=paraphrase_comparison | call=5 | focus=unknown | q=Which is better for thrips control, blue pan traps or yellow
OK   | seed=4 | style=paraphrase_cause | call=1 | focus=unknown | q=Is whitefly the cause of damage in wheat crops?
OK   | seed=4 | style=paraphrase_cause | call=2 | focus=unknown | q=What causes the silver coloration on wheat leaves?
OK   | seed=4 | style=paraphrase_cause | call=3 | focus=unknown | q=Are thrips the cause of silver-colored damage on wheat leave
DUPE | seed=4 | style=paraphrase_cause | q=What causes the silver coloration on wheat leaves?
OK   | seed=4 | style=paraphrase_cause | call=5 | focus=unknown | q=Which pest causes silver coloration on wheat leaves?
OK   | seed=4 | style=paraphrase_cause | call=6 | focus=unknown | q=When do thrips become a problem in wheat crops?
OK   | seed=4 | style=paraphrase_quantity_focused | call=1 | focus=dosage_quantity | q=Is there a specific number of blue pan traps recommended per
OK   | seed=4 | style=paraphrase_quantity_focused | call=2 | focus=dosage_quantity | q=What is the recommended number of blue pan traps per acre fo
OK   | seed=4 | style=paraphrase_quantity_focused | call=3 | focus=unknown | q=Are there specific numbers of traps recommended for monitori
DUPE | seed=4 | style=paraphrase_quantity_focused | q=What is the recommended number of blue pan traps per acre fo
OK   | seed=4 | style=paraphrase_quantity_focused | call=5 | focus=dosage_quantity | q=Which quantity of blue pan traps should be used per acre for
DUPE | seed=4 | style=paraphrase_quantity_focused | q=When should blue pan traps be set up for monitoring thrips i
OK   | seed=4 | style=paraphrase_quantity_focused | call=7 | focus=dosage_quantity | q=Why is the number of blue pan traps recommended as 4-10 per 
OK   | seed=4 | style=paraphrase_timing_focused | call=1 | focus=unknown | q=Is there a specific time during the wheat growth cycle when 
OK   | seed=4 | style=paraphrase_timing_focused | call=2 | focus=unknown | q=When should thrips be monitored in wheat crops?
DUPE | seed=4 | style=paraphrase_timing_focused | q=When should blue pan traps be set up for monitoring thrips i
DUPE | seed=4 | style=paraphrase_timing_focused | q=When should thrips be monitored in wheat crops?
OK   | seed=4 | style=paraphrase_timing_focused | call=5 | focus=application_timing | q=Which stage of wheat growth is thrips most active?
DUPE | seed=4 | style=paraphrase_timing_focused | q=When should blue pan traps be set up for monitoring thrips i
OK   | seed=4 | style=paraphrase_timing_focused | call=7 | focus=application_timing | q=Why is it important to monitor thrips in wheat during the ea
OK   | seed=4 | style=paraphrase_timing_focused | call=8 | focus=application_timing | q=Can whitefly be controlled in wheat during the early growth 
OK   | seed=5 | style=paraphrase_formal | call=1 | focus=unknown | q=Which measures can be implemented to control the Rust-red Fl
OK   | seed=5 | style=paraphrase_formal | call=2 | focus=unknown | q=What measures can be implemented to manage the infestation o
OK   | seed=5 | style=paraphrase_formal | call=3 | focus=symptom_detail | q=Why is the Rust-red Flour Beetle considered a significant th
OK   | seed=5 | style=paraphrase_formal | call=4 | focus=unknown | q=Can proper storage management and integrated pest control me
OK   | seed=5 | style=paraphrase_formal | call=5 | focus=unknown | q=Should the rust-red flour beetle in stored wheat grains be c
OK   | seed=5 | style=paraphrase_short | call=1 | focus=chemical_name | q=Which chemical is effective for fumigating stored wheat agai
OK   | seed=5 | style=paraphrase_short | call=2 | focus=unknown | q=When to fumigate wheat for rust-red flour beetle?
OK   | seed=5 | style=paraphrase_short | call=3 | focus=unknown | q=Why use Aluminum Phosphide for wheat storage pests?
OK   | seed=5 | style=paraphrase_short | call=4 | focus=unknown | q=Can Aluminum Phosphide control rust-red flour beetle in stor
OK   | seed=5 | style=paraphrase_short | call=5 | focus=unknown | q=Should Aluminum Phosphide be used for beetle control?
OK   | seed=5 | style=paraphrase_problem_description | call=1 | focus=symptom_detail | q=Which symptoms are visible in stored wheat grains that indic
OK   | seed=5 | style=paraphrase_problem_description | call=2 | focus=unknown | q=When I open my grain storage, I see fine powdery material an
OK   | seed=5 | style=paraphrase_problem_description | call=3 | focus=unknown | q=Why are there small red-brown insects in my stored wheat and
OK   | seed=5 | style=paraphrase_problem_description | call=4 | focus=unknown | q=Can the grains in my storage have a musty smell and fine pow
OK   | seed=5 | style=paraphrase_problem_description | call=5 | focus=unknown | q=Should the grains have a musty smell and fine powder, and so
OK   | seed=5 | style=paraphrase_followup | call=1 | focus=chemical_name | q=Which chemical is recommended for fumigation to control Rust
OK   | seed=5 | style=paraphrase_followup | call=2 | focus=unknown | q=When should I aerate the stored wheat after fumigation with 
OK   | seed=5 | style=paraphrase_followup | call=3 | focus=unknown | q=Why is it important to maintain grain moisture below 12% to 
OK   | seed=5 | style=paraphrase_followup | call=4 | focus=unknown | q=Can I use a different type of container for storing wheat af
OK   | seed=5 | style=paraphrase_followup | call=5 | focus=unknown | q=Should I aerate the grains after fumigation with Aluminum Ph
OK   | seed=5 | style=paraphrase_yes_no | call=1 | focus=chemical_name | q=Which chemical is recommended for fumigation of stored wheat
OK   | seed=5 | style=paraphrase_yes_no | call=2 | focus=unknown | q=When should fumigation with Aluminum Phosphide 56% be conduc
OK   | seed=5 | style=paraphrase_yes_no | call=3 | focus=unknown | q=Why should stored wheat be sun-dried before storage?
OK   | seed=5 | style=paraphrase_yes_no | call=4 | focus=unknown | q=Can Aluminum Phosphide 56% be used for fumigation in stored 
OK   | seed=5 | style=paraphrase_yes_no | call=5 | focus=unknown | q=Should Aluminum Phosphide 56% be used for fumigation of stor
OK   | seed=5 | style=paraphrase_preventive | call=1 | focus=unknown | q=Which cultural practices can be adopted to prevent infestati
OK   | seed=5 | style=paraphrase_preventive | call=2 | focus=unknown | q=When should wheat be stored to prevent infestation by the Ru
OK   | seed=5 | style=paraphrase_preventive | call=3 | focus=unknown | q=Why is it important to sun-dry wheat before storage to preve
OK   | seed=5 | style=paraphrase_preventive | call=4 | focus=unknown | q=Can proper storage management prevent Rust-red Flour Beetle 
OK   | seed=5 | style=paraphrase_preventive | call=5 | focus=unknown | q=Should I take any steps to prevent Rust-red Flour Beetle in 
OK   | seed=5 | style=paraphrase_comparison | call=1 | focus=unknown | q=Which is more effective for controlling Rust-red Flour Beetl
OK   | seed=5 | style=paraphrase_comparison | call=2 | focus=unknown | q=When comparing the effectiveness of fumigation with Aluminum
OK   | seed=5 | style=paraphrase_comparison | call=3 | focus=unknown | q=Why is Aluminum Phosphide preferred over other methods for c
OK   | seed=5 | style=paraphrase_comparison | call=4 | focus=unknown | q=Can fumigation with Aluminum Phosphide be used safely for st
OK   | seed=5 | style=paraphrase_comparison | call=5 | focus=unknown | q=Should I use Aluminum Phosphide or Deltamethrin to control R
OK   | seed=5 | style=paraphrase_cause | call=1 | focus=unknown | q=Which factors cause the Rust-red Flour Beetle to infest stor
OK   | seed=5 | style=paraphrase_cause | call=2 | focus=unknown | q=When does the Rust-red Flour Beetle infest stored wheat grai
OK   | seed=5 | style=paraphrase_cause | call=3 | focus=unknown | q=Why does the Rust-red Flour Beetle infest stored wheat grain
OK   | seed=5 | style=paraphrase_cause | call=4 | focus=unknown | q=Can the presence of damaged grains in storage lead to an inf
OK   | seed=5 | style=paraphrase_cause | call=5 | focus=unknown | q=Should the rust-red flour beetle infest stored wheat grains?
OK   | seed=5 | style=paraphrase_quantity_focused | call=1 | focus=dosage_quantity | q=Which quantity of Aluminum Phosphide 56% is recommended for 
OK   | seed=5 | style=paraphrase_quantity_focused | call=2 | focus=unknown | q=When should the fumigation with Aluminum Phosphide 56% be ca
OK   | seed=5 | style=paraphrase_quantity_focused | call=3 | focus=unknown | q=Why is the aeration period 48 hours after fumigation with Al
OK   | seed=5 | style=paraphrase_quantity_focused | call=4 | focus=unknown | q=Can I use 150 grams of Aluminum Phosphide per 100 cubic mete
OK   | seed=5 | style=paraphrase_quantity_focused | call=5 | focus=unknown | q=Should I use 150 gm per 100 m3 of Aluminum Phosphide for fum
OK   | seed=5 | style=paraphrase_timing_focused | call=1 | focus=unknown | q=Which timing is recommended for fumigating stored wheat to c
OK   | seed=5 | style=paraphrase_timing_focused | call=2 | focus=unknown | q=When should fumigation with Aluminum Phosphide be done for c
OK   | seed=5 | style=paraphrase_timing_focused | call=3 | focus=unknown | q=Why is it important to fumigate stored wheat with Aluminum P
OK   | seed=5 | style=paraphrase_timing_focused | call=4 | focus=unknown | q=When should fumigation with Aluminum Phosphide be done for s
OK   | seed=5 | style=paraphrase_timing_focused | call=5 | focus=unknown | q=Should I treat stored wheat for flour beetles before or afte
OK   | seed=6 | style=paraphrase_formal | call=1 | focus=unknown | q=Does the Bihar hairy caterpillar and gram caterpillar pose a
OK   | seed=6 | style=paraphrase_formal | call=2 | focus=unknown | q=Are there effective control measures available for Bihar hai
OK   | seed=6 | style=paraphrase_formal | call=3 | focus=unknown | q=What are the integrated pest management strategies for contr
OK   | seed=6 | style=paraphrase_formal | call=4 | focus=unknown | q=Which control measures are recommended for Bihar hairy cater
OK   | seed=6 | style=paraphrase_formal | call=5 | focus=unknown | q=When should Spinosad 45% SC be sprayed for controlling gram 
OK   | seed=6 | style=paraphrase_short | call=1 | focus=unknown | q=Does Bihar hairy caterpillar attack Berseem crop in Septembe
OK   | seed=6 | style=paraphrase_short | call=2 | focus=unknown | q=Are there control methods for Bihar hairy caterpillar in Ber
OK   | seed=6 | style=paraphrase_short | call=3 | focus=unknown | q=What control measures are for gram caterpillar in Berseem?
OK   | seed=6 | style=paraphrase_short | call=4 | focus=unknown | q=Which pests attack Berseem crop in Punjab?
OK   | seed=6 | style=paraphrase_short | call=5 | focus=unknown | q=When to spray Spinosad for gram caterpillar in Berseem?
OK   | seed=6 | style=paraphrase_problem_description | call=1 | focus=unknown | q=Does my berseem crop have small green worms eating the leave
OK   | seed=6 | style=paraphrase_problem_description | call=2 | focus=unknown | q=Are the leaves of my berseem crop being eaten away and the p
OK   | seed=6 | style=paraphrase_problem_description | call=3 | focus=unknown | q=What should I do if my Berseem crop is being eaten by small 
OK   | seed=6 | style=paraphrase_problem_description | call=4 | focus=symptom_detail | q=Which symptoms are observed in the field that indicate pest 
OK   | seed=6 | style=paraphrase_problem_description | call=5 | focus=unknown | q=When the leaves of my berseem crop are eaten and the plants 
SKIP | seed=6 | style=paraphrase_followup | call=1
OK   | seed=6 | style=paraphrase_followup | call=2 | focus=application_timing | q=Are there specific weeds that should be destroyed before sow
SKIP | seed=6 | style=paraphrase_followup | call=3
SKIP | seed=6 | style=paraphrase_followup | call=4
SKIP | seed=6 | style=paraphrase_followup | call=5
OK   | seed=6 | style=paraphrase_followup | call=6 | focus=application_timing | q=Why should weeds like Gutpatna and Bathu be destroyed before
SKIP | seed=6 | style=paraphrase_followup | call=7
OK   | seed=6 | style=paraphrase_followup | call=8 | focus=unknown | q=Should I spray Spinosad 45% SC for gram caterpillar control 
SKIP | seed=6 | style=paraphrase_followup | call=9
OK   | seed=6 | style=paraphrase_followup | call=10 | focus=unknown | q=Is it necessary to destroy weeds near berseem fields to cont
OK   | seed=6 | style=paraphrase_followup | call=11 | focus=unknown | q=Does the control of Bihar hairy caterpillar involve any spec
OK   | seed=6 | style=paraphrase_yes_no | call=1 | focus=unknown | q=Does the seed answer mention any specific insecticide for co
OK   | seed=6 | style=paraphrase_yes_no | call=2 | focus=unknown | q=Are weeds like Gutpatna and Bathu considered alternate host 
OK   | seed=6 | style=paraphrase_yes_no | call=3 | focus=unknown | q=What is the recommended method to control Bihar hairy caterp
OK   | seed=6 | style=paraphrase_yes_no | call=4 | focus=application_timing | q=Which pests are known to attack Berseem crops during the veg
OK   | seed=6 | style=paraphrase_yes_no | call=5 | focus=unknown | q=When should weeds near berseem fields be destroyed?
OK   | seed=6 | style=paraphrase_preventive | call=1 | focus=unknown | q=Does destroying weeds like Gutpatna and Bathu help prevent B
OK   | seed=6 | style=paraphrase_preventive | call=2 | focus=unknown | q=Are there any preventive measures to avoid infestation of Bi
OK   | seed=6 | style=paraphrase_preventive | call=3 | focus=unknown | q=What are the preventive steps to avoid infestation of Bihar 
OK   | seed=6 | style=paraphrase_preventive | call=4 | focus=unknown | q=Which preventive practices can be followed to avoid infestat
OK   | seed=6 | style=paraphrase_preventive | call=5 | focus=unknown | q=When should weeds near berseem fields be destroyed to preven
OK   | seed=6 | style=paraphrase_comparison | call=1 | focus=unknown | q=Does Spinosad 45% SC help control both Bihar hairy caterpill
OK   | seed=6 | style=paraphrase_comparison | call=2 | focus=unknown | q=Are there differences in the control methods for Bihar hairy
OK   | seed=6 | style=paraphrase_comparison | call=3 | focus=unknown | q=What is the difference between the control methods for Bihar
OK   | seed=6 | style=paraphrase_comparison | call=4 | focus=unknown | q=Which pest is more damaging to Berseem crop in Punjab during
OK   | seed=6 | style=paraphrase_comparison | call=5 | focus=unknown | q=When comparing Bihar hairy caterpillar and gram caterpillar 
OK   | seed=6 | style=paraphrase_cause | call=1 | focus=unknown | q=Does the presence of certain weeds cause the Bihar hairy cat
OK   | seed=6 | style=paraphrase_cause | call=2 | focus=pathogen_name | q=Are Bihar hairy caterpillar and gram caterpillar in Berseem 
OK   | seed=6 | style=paraphrase_cause | call=3 | focus=unknown | q=What causes the Bihar hairy caterpillar to attack Berseem cr
OK   | seed=6 | style=paraphrase_cause | call=4 | focus=unknown | q=Which factors cause the Bihar hairy caterpillar and gram cat
OK   | seed=6 | style=paraphrase_cause | call=5 | focus=unknown | q=When do Bihar hairy caterpillar and gram caterpillar attack 
SKIP | seed=6 | style=paraphrase_quantity_focused | call=1
SKIP | seed=6 | style=paraphrase_quantity_focused | call=2
SKIP | seed=6 | style=paraphrase_quantity_focused | call=3
SKIP | seed=6 | style=paraphrase_quantity_focused | call=4
SKIP | seed=6 | style=paraphrase_quantity_focused | call=5
OK   | seed=6 | style=paraphrase_quantity_focused | call=6 | focus=unknown | q=Why should Spinosad 45% SC be sprayed at 60-62ml/acre for gr
SKIP | seed=6 | style=paraphrase_quantity_focused | call=7
SKIP | seed=6 | style=paraphrase_quantity_focused | call=8
SKIP | seed=6 | style=paraphrase_quantity_focused | call=9
OK   | seed=6 | style=paraphrase_quantity_focused | call=10 | focus=dosage_quantity | q=Is there a specific quantity mentioned for the application o
SKIP | seed=6 | style=paraphrase_quantity_focused | call=11
OK   | seed=6 | style=paraphrase_quantity_focused | call=12 | focus=unknown | q=Are there specific quantities mentioned for the application 
SKIP | seed=6 | style=paraphrase_quantity_focused | call=13
SKIP | seed=6 | style=paraphrase_quantity_focused | call=14
SKIP | seed=6 | style=paraphrase_quantity_focused | call=15
OK   | seed=6 | style=paraphrase_quantity_focused | call=16 | focus=unknown | q=Why is Spinosad 45% SC sprayed at 60-62ml/acre for gram cate
SKIP | seed=6 | style=paraphrase_quantity_focused | call=17
SKIP | seed=6 | style=paraphrase_quantity_focused | call=18
SKIP | seed=6 | style=paraphrase_quantity_focused | call=19
OK   | seed=6 | style=paraphrase_quantity_focused | call=20 | focus=dosage_quantity | q=Is there a specific dosage mentioned for controlling gram ca
OK   | seed=6 | style=paraphrase_timing_focused | call=1 | focus=unknown | q=Does the control of Bihar hairy caterpillar in Berseem crop 
OK   | seed=6 | style=paraphrase_timing_focused | call=2 | focus=unknown | q=When should Spinosad 45% SC be sprayed to control gram cater
OK   | seed=6 | style=paraphrase_timing_focused | call=3 | focus=unknown | q=What is the best time to spray Spinosad 45% SC for controlli
OK   | seed=6 | style=paraphrase_timing_focused | call=4 | focus=unknown | q=Which time period should farmers be most cautious about Biha
OK   | seed=6 | style=paraphrase_timing_focused | call=5 | focus=unknown | q=When should Spinosad 45% SC be sprayed for gram caterpillar 
OK   | seed=7 | style=paraphrase_formal | call=1 | focus=unknown | q=What are the effective methods for managing borer infestatio
OK   | seed=7 | style=paraphrase_formal | call=2 | focus=chemical_name | q=Which chemical treatments are recommended for managing borer
OK   | seed=7 | style=paraphrase_formal | call=3 | focus=unknown | q=When should Chlorpyrifos 20% EC be applied for the control o
OK   | seed=7 | style=paraphrase_formal | call=4 | focus=symptom_detail | q=Why is the early shoot borer considered a significant threat
OK   | seed=7 | style=paraphrase_formal | call=5 | focus=unknown | q=Can borer infestation in sugarcane be controlled effectively
OK   | seed=7 | style=paraphrase_short | call=1 | focus=chemical_name | q=What chemical control is used for sugarcane borer?
OK   | seed=7 | style=paraphrase_short | call=2 | focus=chemical_name | q=Which chemical controls early shoot borer in sugarcane?
OK   | seed=7 | style=paraphrase_short | call=3 | focus=application_timing | q=When to apply Chlorpyrifos 20% EC for borer control?
OK   | seed=7 | style=paraphrase_short | call=4 | focus=unknown | q=Why is Chlorpyrifos 20% EC used for sugarcane borers?
OK   | seed=7 | style=paraphrase_short | call=5 | focus=unknown | q=Can Chlorpyrifos 20% EC control borer infestation in sugarca
OK   | seed=7 | style=paraphrase_problem_description | call=1 | focus=unknown | q=What if the sugarcane plants in my field are showing stunted
OK   | seed=7 | style=paraphrase_problem_description | call=2 | focus=symptom_detail | q=Which symptoms are appearing in my sugarcane field that indi
OK   | seed=7 | style=paraphrase_problem_description | call=3 | focus=unknown | q=When I notice some of my sugarcane plants have wilted and dr
OK   | seed=7 | style=paraphrase_problem_description | call=4 | focus=symptom_detail | q=Why are some of my sugarcane plants showing wilting and drie
OK   | seed=7 | style=paraphrase_problem_description | call=5 | focus=unknown | q=Can the sugarcane plants in my field have something wrong? S
OK   | seed=7 | style=paraphrase_followup | call=1 | focus=dosage_quantity | q=What is the recommended dosage for Chlorpyrifos 20% EC when 
OK   | seed=7 | style=paraphrase_followup | call=2 | focus=unknown | q=Which method is recommended for applying Chlorpyrifos 20% EC
OK   | seed=7 | style=paraphrase_followup | call=3 | focus=unknown | q=When should I apply Chlorpyrifos 20% EC for controlling earl
OK   | seed=7 | style=paraphrase_followup | call=4 | focus=unknown | q=Why should I avoid ratooning heavily infested sugarcane crop
OK   | seed=7 | style=paraphrase_followup | call=5 | focus=unknown | q=Can I use Chlorpyrifos 20% EC for other pests in sugarcane?
OK   | seed=7 | style=paraphrase_yes_no | call=1 | focus=dosage_quantity | q=What is the recommended application rate for Chlorpyrifos 20
OK   | seed=7 | style=paraphrase_yes_no | call=2 | focus=chemical_name | q=Which chemical is recommended for the control of early shoot
OK   | seed=7 | style=paraphrase_yes_no | call=3 | focus=unknown | q=When should Chlorpyrifos 20% EC be applied for early shoot b
OK   | seed=7 | style=paraphrase_yes_no | call=4 | focus=application_timing | q=Why should I avoid applying insecticides during the flowerin
OK   | seed=7 | style=paraphrase_yes_no | call=5 | focus=unknown | q=Can Chlorpyrifos 20% EC be used to control early shoot borer
OK   | seed=7 | style=paraphrase_preventive | call=1 | focus=unknown | q=What can I do to prevent borer infestation in sugarcane?
OK   | seed=7 | style=paraphrase_preventive | call=2 | focus=unknown | q=Which cultural practices can be adopted to prevent borer inf
OK   | seed=7 | style=paraphrase_preventive | call=3 | focus=unknown | q=When should I apply Chlorpyrifos 20% EC to prevent borer inf
OK   | seed=7 | style=paraphrase_preventive | call=4 | focus=unknown | q=Why should I practice proper spacing and avoid dense plantin
OK   | seed=7 | style=paraphrase_preventive | call=5 | focus=unknown | q=Can I prevent borer infestation in sugarcane?
OK   | seed=7 | style=paraphrase_comparison | call=1 | focus=unknown | q=What are the differences between the control methods for ear
OK   | seed=7 | style=paraphrase_comparison | call=2 | focus=chemical_name | q=Which chemical is more effective for controlling early shoot
DUPE | seed=7 | style=paraphrase_comparison | q=When should I apply Chlorpyrifos 20% EC for controlling earl
OK   | seed=7 | style=paraphrase_comparison | call=4 | focus=unknown | q=Why is Chlorpyrifos 20% EC preferred over Carbofuran 3% CG f
OK   | seed=7 | style=paraphrase_comparison | call=5 | focus=unknown | q=Can Chlorpyrifos 20% EC and Carbofuran 3% CG be used togethe
OK   | seed=7 | style=paraphrase_comparison | call=6 | focus=unknown | q=Should I use Chlorpyrifos 20% EC or Carbofuran 3% CG for con
OK   | seed=7 | style=paraphrase_cause | call=1 | focus=symptom_detail | q=What causes dead heart symptoms in sugarcane plants?
OK   | seed=7 | style=paraphrase_cause | call=2 | focus=unknown | q=Which factors lead to borer infestation in sugarcane fields?
OK   | seed=7 | style=paraphrase_cause | call=3 | focus=unknown | q=When does the early shoot borer cause damage to sugarcane, a
OK   | seed=7 | style=paraphrase_cause | call=4 | focus=symptom_detail | q=Why does the early shoot borer cause dead heart symptoms in 
OK   | seed=7 | style=paraphrase_cause | call=5 | focus=pathogen_name | q=Can borer infestation in sugarcane be caused by certain pest
DUPE | seed=7 | style=paraphrase_quantity_focused | q=What is the recommended dosage of Chlorpyrifos 20% EC for co
OK   | seed=7 | style=paraphrase_quantity_focused | call=2 | focus=dosage_quantity | q=Which quantity of Chlorpyrifos 20% EC is recommended for soi
DUPE | seed=7 | style=paraphrase_quantity_focused | q=When should Chlorpyrifos 20% EC be applied for early shoot b
OK   | seed=7 | style=paraphrase_quantity_focused | call=4 | focus=unknown | q=Why should Chlorpyrifos 20% EC be applied at 2.5 liters per 
OK   | seed=7 | style=paraphrase_quantity_focused | call=5 | focus=unknown | q=Can I use Chlorpyrifos 20% EC for borer control?
OK   | seed=7 | style=paraphrase_quantity_focused | call=6 | focus=unknown | q=Should I apply Chlorpyrifos 20% EC at a specific rate for co
OK   | seed=7 | style=paraphrase_quantity_focused | call=7 | focus=unknown | q=What is the recommended rate of Chlorpyrifos 20% EC for cont
DUPE | seed=7 | style=paraphrase_timing_focused | q=When should Chlorpyrifos 20% EC be applied for controlling e
DUPE | seed=7 | style=paraphrase_timing_focused | q=When should Chlorpyrifos 20% EC be applied for controlling e
DUPE | seed=7 | style=paraphrase_timing_focused | q=When should Chlorpyrifos 20% EC be applied for controlling e
OK   | seed=7 | style=paraphrase_timing_focused | call=4 | focus=application_timing | q=Why should Chlorpyrifos 20% EC be applied during the early g
OK   | seed=7 | style=paraphrase_timing_focused | call=5 | focus=unknown | q=Can I apply Chlorpyrifos 20% EC after 45 days of planting?
OK   | seed=7 | style=paraphrase_timing_focused | call=6 | focus=application_timing | q=Should I apply Chlorpyrifos 20% EC during the early growth s
OK   | seed=7 | style=paraphrase_timing_focused | call=7 | focus=application_timing | q=What is the best time to apply Chlorpyrifos 20% EC for contr
OK   | seed=7 | style=paraphrase_timing_focused | call=8 | focus=application_timing | q=Is there a specific time to apply Chlorpyrifos 20% EC for co
OK   | seed=8 | style=paraphrase_formal | call=1 | focus=unknown | q=Are there specific environmental and agronomic factors that 
OK   | seed=8 | style=paraphrase_formal | call=2 | focus=unknown | q=What are the factors contributing to poor sugarcane tillerin
OK   | seed=8 | style=paraphrase_formal | call=3 | focus=unknown | q=Which factors contribute to reduced tillering in sugarcane c
OK   | seed=8 | style=paraphrase_formal | call=4 | focus=unknown | q=When might sugarcane exhibit poor tillering and what are the
OK   | seed=8 | style=paraphrase_formal | call=5 | focus=unknown | q=Why is sugarcane showing low tillering or poor sprouting thi
OK   | seed=8 | style=paraphrase_short | call=1 | focus=unknown | q=Are short winter days causing poor sugarcane tillering?
OK   | seed=8 | style=paraphrase_short | call=2 | focus=unknown | q=What causes low sugarcane tillering?
OK   | seed=8 | style=paraphrase_short | call=3 | focus=unknown | q=Which factors cause poor sugarcane tillering?
OK   | seed=8 | style=paraphrase_short | call=4 | focus=irrigation_method | q=When should irrigation be prioritized for sugarcane?
OK   | seed=8 | style=paraphrase_short | call=5 | focus=unknown | q=Why is sugarcane tillering low this time?
OK   | seed=8 | style=paraphrase_problem_description | call=1 | focus=symptom_detail | q=Are the sugarcane plants showing thin, elongated growth with
OK   | seed=8 | style=paraphrase_problem_description | call=2 | focus=unknown | q=What is causing the thin and elongated plants in my sugarcan
OK   | seed=8 | style=paraphrase_problem_description | call=3 | focus=symptom_detail | q=Which symptoms are observed in sugarcane fields that indicat
OK   | seed=8 | style=paraphrase_problem_description | call=4 | focus=symptom_detail | q=When I look at my sugarcane field, the plants are thin and h
OK   | seed=8 | style=paraphrase_problem_description | call=5 | focus=unknown | q=Why are the sugarcane plants not growing well and have few s
OK   | seed=8 | style=paraphrase_followup | call=1 | focus=application_method | q=Are there any specific fertilizer application methods that c
OK   | seed=8 | style=paraphrase_followup | call=2 | focus=application_method | q=What is the recommended dosage for applying DAP as a foliar 
OK   | seed=8 | style=paraphrase_followup | call=3 | focus=application_method | q=Which chemical is recommended for foliar spray to improve ti
OK   | seed=8 | style=paraphrase_followup | call=4 | focus=application_method | q=When should the farmer apply 2% DAP foliar spray for sugarca
OK   | seed=8 | style=paraphrase_followup | call=5 | focus=irrigation_method | q=Why is the irrigation important for sugarcane tillering?
OK   | seed=8 | style=paraphrase_yes_no | call=1 | focus=unknown | q=Are short winter days a contributing factor to low sugarcane
OK   | seed=8 | style=paraphrase_yes_no | call=2 | focus=unknown | q=What is the effect of short day length on sugarcane tillerin
OK   | seed=8 | style=paraphrase_yes_no | call=3 | focus=unknown | q=Which factors can lead to reduced tillering in sugarcane acc
OK   | seed=8 | style=paraphrase_yes_no | call=4 | focus=application_timing | q=When is the best time to apply irrigation to improve sugarca
OK   | seed=8 | style=paraphrase_yes_no | call=5 | focus=unknown | q=Why is tillering important in sugarcane?
OK   | seed=8 | style=paraphrase_preventive | call=1 | focus=unknown | q=Are there any cultural practices to prevent poor sugarcane t
OK   | seed=8 | style=paraphrase_preventive | call=2 | focus=unknown | q=What steps can be taken to prevent poor sugarcane tillering?
OK   | seed=8 | style=paraphrase_preventive | call=3 | focus=unknown | q=Which cultural practices can be followed to prevent low suga
OK   | seed=8 | style=paraphrase_preventive | call=4 | focus=irrigation_method | q=When should farmers ensure proper irrigation to prevent low 
OK   | seed=8 | style=paraphrase_preventive | call=5 | focus=unknown | q=Why is sugarcane not tillering well this season?
OK   | seed=8 | style=paraphrase_comparison | call=1 | focus=unknown | q=Are copper deficiency and zinc deficiency both causes of low
OK   | seed=8 | style=paraphrase_comparison | call=2 | focus=unknown | q=What are the differences between the causes of low sugarcane
OK   | seed=8 | style=paraphrase_comparison | call=3 | focus=symptom_detail | q=Which deficiency causes yellowing of the leaf blade while th
OK   | seed=8 | style=paraphrase_comparison | call=4 | focus=application_timing | q=When is the best time to apply DAP for sugarcane, and how mu
OK   | seed=8 | style=paraphrase_comparison | call=5 | focus=unknown | q=Why is sugarcane not tillering well?
OK   | seed=8 | style=paraphrase_cause | call=1 | focus=irrigation_method | q=Are short winter days and inadequate irrigation the main cau
OK   | seed=8 | style=paraphrase_cause | call=2 | focus=unknown | q=What causes reduced tillering in sugarcane during the curren
OK   | seed=8 | style=paraphrase_cause | call=3 | focus=unknown | q=Which factors cause reduced tillering in sugarcane during th
OK   | seed=8 | style=paraphrase_cause | call=4 | focus=unknown | q=When does short day length affect sugarcane tillering and wh
